created_at,favorite_count,full_text,in_reply_to_screen_name,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
Tue Mar 26 16:10:11 +0000 2024,0,@xmnghoes awal mula komunitas mamah marah ada disitu,futchao,0,0,0,https://x.com/kokikyeom/status/1772657310919283013,"1,49069E+18",kokikyeom
Tue Mar 26 16:05:56 +0000 2024,0,@aarummanis Masuk komunitas marah marah gak,aarummanis,0,0,0,https://x.com/waswasilkhonnas/status/1772656240390177209,"1,31637E+18",waswasilkhonnas
Tue Mar 26 15:39:33 +0000 2024,0,@__Earthcore__ Tiap hari post di komunitas marah-marah ,__Earthcore__,0,1,0,https://x.com/calminhee/status/1772649601083810249,843300907,calminhee
Tue Mar 26 15:35:59 +0000 2024,0,Emg deh anjir warga twt komunitas marah marah si paling suci. Padahal pas gw nangkep tweet si bapak nya jg dia cuma curhat doang. Gada minta donasi kek si singgih. Klo trust issue yaudah diem aja skip. Ga usah komen aneh2 dan nuduh bapaknya nipu dll. Kayak yg iya kalian ikut,,0,0,0,https://x.com/leunchae/status/1772648700722204766,"1,15432E+18",leunchae
Tue Mar 26 15:21:39 +0000 2024,0,Binggung bgt scroll komunitas marah marah tu bisa ikutan sebel dan emosi. Giliran baca komunitas raman ramah malag mewek,,0,0,0,https://x.com/kwetiawsifud/status/1772645096669794586,578737646,kwetiawsifud
Tue Mar 26 15:09:25 +0000 2024,117,NGABRUTTTTTTTT jadi keinget mereka juga isi kompleks komunitas istri marah-marah vs suami ramah-ramah https://t.co/v9RnGbORO3,,6,5,26,https://x.com/sayangshuxin/status/1772642017559892422,"1,24067E+18",sayangshuxin
Tue Mar 26 15:03:56 +0000 2024,0,keknya gue cocok masuk komunitas marah marah ,,0,0,0,https://x.com/gojoocatoru/status/1772640634702086543,"9,80445E+17",gojoocatoru
Tue Mar 26 14:53:23 +0000 2024,1,setelah join komunitas marah-marah saatnya join komunitas ramah-ramah,,0,0,0,https://x.com/scrapperior/status/1772637983193055556,"1,12269E+18",scrapperior
Tue Mar 26 14:38:41 +0000 2024,1,@30574s sebenernya rela aja si gue jatohnya kaya ikatan kerja gt kan,esatso,0,0,0,https://x.com/anetnoth/status/1772634280985805233,"1,31007E+18",anetnoth
Tue Mar 26 14:38:26 +0000 2024,1,@30574s gpp gue ga terlalu nyari beasiswa yg penting bisa kuliah ,esatso,0,0,0,https://x.com/anetnoth/status/1772634217458892803,"1,31007E+18",anetnoth
